name,artist,id,popularity,danceability,key,mode,instrumentalness,duration,time_signature,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Don't Stop Believin',Journey,77NNZQSqzLNqh2A9JhLRkg,"76
",0.491,4,1,0.0,248907,4,0.802,-7.106,0.0392,0.25,119.25,0.387,0.472
Fix You,Coldplay,7LVHVU3tWfcxj5aiPFEW4Q,"82
",0.209,3,1,0.00196,295533,4,0.417,-8.74,0.0338,0.164,138.178,0.113,0.124
The Scientist,Coldplay,75JFxkI2RXiU7L9VXzMkle,"84
",0.56,5,1,1.71e-05,309600,4,0.442,-7.224,0.0243,0.727,146.448,0.11,0.212
Sweet Child O' Mine,Guns N' Roses,1kDYCn9VIDmOIbLZ2Xc7OO,"0
",0.45,6,1,0.108,356400,4,0.904,-7.736,0.046,0.0872,125.072,0.0997,0.689
Viva La Vida,Coldplay,1mea3bSkSGXuIRvnydlB5b,"81
",0.485,5,0,3.31e-06,242373,4,0.619,-7.115,0.0289,0.0941,138.017,0.109,0.416
In the End,Linkin Park,3tSmXSxaAnU1EPGKa6NytH,"64
",0.555,3,0,0.0,216800,4,0.844,-6.567,0.0554,0.00834,105.195,0.0895,0.464
Smells Like Teen Spirit,Nirvana,4hy4fb5D1KL50b3sng9cjw,"0
",0.48,1,1,0.000751,300827,4,0.875,-5.898,0.0429,1.62e-05,116.754,0.103,0.826
Paradise City,Guns N' Roses,2pDPnlF496mf3EBwrTCHN2,"0
",0.273,11,1,0.0173,406307,4,0.953,-8.76,0.0768,0.0146,100.26,0.19,0.445
Kids,MGMT,1jJci4qxiYcOHhQR247rEU,"80
",0.451,9,1,0.0049,302840,4,0.931,-3.871,0.0719,0.00076,122.961,0.361,0.172
Clocks,Coldplay,0BCPKOYdS2jbQ8iyB56Zns,"78
",0.577,5,0,0.0112,307880,4,0.749,-7.215,0.0279,0.599,130.969,0.183,0.261
Save Tonight,Eagle-Eye Cherry,2hdhm6piUJnmKXmEmskXCg,"0
",0.545,0,1,5.79e-05,242733,4,0.699,-8.76,0.0338,9.44e-05,119.589,0.12,0.6
She Will Be Loved,Maroon 5,5s5t0OFg9lIlBFaCI14K1i,"2
",0.524,0,0,0.0,257133,4,0.711,-5.494,0.0405,0.0567,203.867,0.134,0.539
