name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Don't Let Go (Love),En Vogue,06TuMCjDEYjTOJScCRzmjf,0.618,0.688,-5.867,0.0477,0.409,78.311,0.3,0.561
Truly Madly Deeply,Savage Garden,013AWvizllIUEC2FOBzOnh,0.555,0.698,-8.874,0.0287,0.403,168.12,0.0851,0.816
Could I Have This Kiss Forever,Enrique Iglesias,01qCxvpyyIm0a0RG3uYxEm,0.457,0.892,-5.926,0.0986,0.00338,93.664,0.141,0.508
The Boy Is Mine,Brandy,6sHsXIJoEN5JpdkGMQDJxt,0.704,0.707,-6.537,0.0391,0.539,93.145,0.318,0.761
Virtual Insanity - Remastered,Jamiroquai,2Bxt2qamL6iu0XN0Td484J,0.618,0.893,-6.475,0.109,0.171,91.972,0.285,0.515
Vogue,Madonna,27QvYgBk0CHOVHthWnkuWt,0.737,0.88,-6.449,0.0433,0.00379,115.998,0.417,0.329
End Of The Road,Boyz II Men,3l3xTXsUXeWlkPqzMs7mPD,0.64,0.427,-9.29,0.0241,0.0664,149.703,0.0579,0.529
Coco Jamboo - Radio Version,Mr. President,6rQ9qJPvInEqSzlh89LsPJ,0.832,0.838,-5.414,0.0421,0.0791,100.019,0.152,0.965
Just A Girl,No Doubt,36bOT34EdRNrNhCWMwNJKu,0.641,0.914,-4.798,0.05,0.0799,107.996,0.132,0.723
Everybody Hurts,R.E.M.,4tCWWnk3BXinf7FllmSyHW,0.254,0.383,-8.036,0.0282,0.614,188.2,0.172,0.178
Livin' la Vida Loca,Ricky Martin,0Ph6L4l8dYUuXFmb71Ajnd,0.425,0.954,-3.756,0.0476,0.00411,178.043,0.0555,0.933
Let Me Entertain You,Robbie Williams,0SLtqCrXBRrnkxSOMA3X4W,0.478,0.965,-5.022,0.0642,0.000169,125.152,0.0854,0.347
Joyride,Roxette,7CBy5lwwNECPDjsksQrxxB,0.631,0.77,-5.315,0.0267,0.0457,102.348,0.481,0.734
Crazy,Seal,10tdqQKFhddpkjzxllTVRj,0.633,0.846,-6.744,0.0426,0.408,102.871,0.11,0.899
One Sweet Day,Mariah Carey,7ySbfLwdCwl1EM0zNCJZ38,0.569,0.495,-8.964,0.03,0.353,128.228,0.0839,0.302
Smooth,Santana,3kenIsD2tMzxb8XtJlxi5J,0.609,0.923,-3.908,0.0338,0.16,115.996,0.295,0.961
Man! I Feel Like A Woman!,Shania Twain,6q9orQ8lTnKFqBhxRB0bY5,0.664,0.889,-3.058,0.0468,0.641,124.986,0.298,0.729
Stop,Spice Girls,3FteycP8CaXS1MhjcXekVT,0.722,0.845,-4.446,0.0308,0.287,130.13,0.0561,0.965
"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,3oEHQmhvFLiE7ZYES0ulzv,0.428,0.276,-11.729,0.0312,0.732,99.195,0.117,0.0382
Sexbomb,Tom Jones,6KHXp9QKpRuBQPLDOiZlsV,0.801,0.876,-3.94,0.0446,0.144,122.98,0.104,0.932
Two Princes,Spin Doctors,4ePP9So5xRzspjLFVVbj90,0.543,0.912,-10.71,0.0601,0.00162,103.731,0.0565,0.836
How Deep Is Your Love,Take That,7pUARNBq1Puwna5LrAhosi,0.786,0.376,-14.285,0.0273,0.672,99.992,0.186,0.437
Un-Break My Heart,Toni Braxton,5Ihd9HrPvOADyVoonH9ZjB,0.625,0.426,-8.392,0.0271,0.413,110.018,0.116,0.112
I'm Every Woman,Whitney Houston,2eHj0klWkwRQuIrNlPpCPa,0.666,0.848,-8.312,0.0529,0.0176,119.541,0.126,0.402
Streets of Philadelphia,Bruce Springsteen,33PYfsUghmJi6rcKCfJ7my,0.728,0.249,-15.429,0.0328,0.327,93.683,0.0875,0.452
"Baby, I Love Your Way",Big Mountain,2le9fblYnfoLr9dkZIsJUa,0.651,0.747,-7.269,0.0699,0.0528,147.518,0.207,0.776
2 Become 1,Spice Girls,36AWdhZIGLUTkWpJDhe7va,0.646,0.665,-7.878,0.0268,0.326,143.966,0.238,0.7
"Men In Black - From ""Men In Black"" Soundtrack",Will Smith,2FK7fxjzQEXD7Z32HSF0Hl,0.801,0.581,-8.491,0.0681,0.0961,107.545,0.0971,0.657
Strong Enough,Cher,144JMbvbR5txNzoZ112wo4,0.593,0.923,-6.19,0.101,0.0495,124.862,0.29,0.587
Say My Name,Destiny's Child,2gSyc23Hua25fqSFpgAh6W,0.522,0.676,-3.571,0.16,0.274,67.427,0.134,0.746
Layla,Eric Clapton,4fvTMIZhXaaLokgmo4uMqF,0.51,0.389,-14.317,0.0384,0.286,94.04,0.644,0.621
Più bella cosa,Eros Ramazzotti,0KligwQn4Iy344p2Q5m6k6,0.691,0.76,-6.82,0.0262,0.0524,110.008,0.217,0.639
It's Not Right But It's Okay,Whitney Houston,3M5CUQzQ59GdpADOQiVW99,0.805,0.807,-7.076,0.0833,0.143,127.901,0.0729,0.527
Easy,Faith No More,4zzvMG8KrsykYtvFEJ99Cl,0.506,0.554,-6.743,0.0339,0.339,124.724,0.112,0.375
MMMBop,Hanson,1reVP49LT6RsV6kYY9lTZz,0.685,0.948,-5.182,0.0457,0.00513,104.881,0.17,0.628
You're Still The One,Shania Twain,1wb4P4F0sxAQ2KXrRvsx6n,0.585,0.494,-8.751,0.0353,0.363,133.822,0.0886,0.634
Gettin' Jiggy Wit It,Will Smith,0weAUscowxeqDtpCgtbpgp,0.881,0.874,-4.505,0.139,0.0175,107.891,0.154,0.858
November Rain,Guns N' Roses,3YRCqOhFifThpSRFJ1VWFM,0.294,0.641,-9.316,0.0291,0.0163,79.759,0.112,0.226
Don't Let the Sun Go Down on Me,George Michael,0q90594hk25yo0xZmBTqCd,0.432,0.551,-8.096,0.0289,0.501,136.465,0.472,0.253
Thank You,Dido,3yUcJwYu7fXAfqMj9krY6l,0.725,0.583,-9.942,0.0424,0.3,79.984,0.0665,0.765
Cose della vita,Eros Ramazzotti,7L93Qjqgh05ZuFflWWyTjN,0.502,0.603,-9.496,0.0311,0.0634,176.199,0.224,0.474
When You Believe,Whitney Houston,0JN7vUgUolHGHFrOR8xk7S,0.436,0.39,-9.62,0.0326,0.557,125.313,0.12,0.119
It's My Life,Dr. Alban,6HdM7gzXVgcpepv276raog,0.655,0.933,-7.703,0.0536,0.00332,128.701,0.0983,0.472
Woman in Love,Barbra Streisand,1pTGc8pwyo6xtgXBKCBcFn,0.469,0.278,-16.311,0.028,0.248,169.735,0.133,0.331
Baby Can I Hold You,Tracy Chapman,2DjWsDGgL1xNbhnr7f6t5F,0.692,0.422,-10.533,0.0333,0.0811,74.375,0.0848,0.468
I Still Haven't Found What I'm Looking For - Remastered 2007,U2,7gozgbG5EBTukCFWToTRA5,0.565,0.764,-9.43,0.0351,0.0139,100.891,0.079,0.686
What's Love Got to Do with It,Tina Turner,4kOfxxnW1ukZdsNbCKY9br,0.851,0.406,-11.631,0.0661,0.219,97.84,0.0853,0.792
The Power Of Love,Huey Lewis & The News,2olVm1lHicpveMAo4AUDRB,0.768,0.829,-5.109,0.0313,0.0964,118.773,0.097,0.962
"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack",Glenn Frey,0PXw9NKvolWTo7U9JkNzmc,0.622,0.865,-6.369,0.0531,0.0167,149.706,0.0692,0.87
Summer Of '69,Bryan Adams,0GONea6G2XdnHWjNZd6zt3,0.508,0.834,-6.205,0.0386,0.0183,139.131,0.0732,0.774
It's a Sin - 2001 Remaster,Pet Shop Boys,6IDHh3FcwLVcG5NsmpQgg2,0.538,0.86,-5.916,0.0435,0.252,127.153,0.247,0.291
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,2tUBqZG2AbRi7Q0BIrVrEj,0.709,0.824,-8.824,0.0453,0.207,118.814,0.0888,0.867
All Around the World - Remastered,Lisa Stansfield,1DapqOfkDAQCiKnvfwKo0g,0.671,0.914,-4.598,0.107,0.573,101.201,0.0856,0.806
Billie Jean,Michael Jackson,5ChkMS8OtdzJeqyybCc9R5,0.92,0.654,-3.051,0.0401,0.0236,117.046,0.0359,0.847
Smalltown Boy,Bronski Beat,5vmRQ3zELMLUQPo2FLQ76x,0.685,0.584,-10.616,0.0276,0.288,134.546,0.124,0.939
Back To Life,Soul II Soul,7vvRkLPIvfjjmCIqNxBuEZ,0.817,0.485,-11.659,0.143,0.0525,100.978,0.0391,0.672
A Groovy Kind of Love,Phil Collins,5OHUTC4EvTbL0DuZQRIGGX,0.452,0.306,-9.632,0.0274,0.235,144.125,0.0989,0.182
"When the Going Gets Tough, The Tough Get Going",Billy Ocean,5UU5FbITNm5OunvHQdsKME,0.754,0.763,-6.318,0.0473,0.407,122.047,0.318,0.932
Word Up,Cameo,7LoGfKBAaOl0nxhodJ1240,0.878,0.84,-13.105,0.064,0.0421,116.222,0.053,0.882
Guilty (feat. Barry Gibb),Barbra Streisand,60mGckXEG1EzR4VmjYLfEW,0.626,0.425,-15.656,0.0356,0.231,150.875,0.114,0.952
You Keep Me Hangin On,Kim Wilde,1wEeNtO7z41aUqC80shxqK,0.686,0.682,-12.154,0.033,0.0806,123.44,0.14,0.708
All Night Long (All Night) - Single Version,Lionel Richie,4czNORk5MjW5WOn98bki32,0.748,0.603,-12.044,0.043,0.15,108.831,0.0269,0.827
I'm On Fire,Bruce Springsteen,3PzsbWSQdLCKDLxn7YZfkM,0.62,0.446,-14.451,0.0347,0.589,88.591,0.0727,0.868
Gloria,Laura Branigan,1mskmld5ZKEhRaNvYVPoqZ,0.776,0.743,-6.807,0.0289,0.107,131.343,0.149,0.84
Jump (Original Mix),The Pointer Sisters,1kIu9zpYtWjgrLlsactlna,0.846,0.826,-7.909,0.098,0.0867,134.454,0.12,0.813
Another Day in Paradise - 2016 Remaster,Phil Collins,1NCuYqMc8hKMb4cpNTcJbD,0.78,0.565,-7.32,0.0306,0.736,101.967,0.063,0.365
Karma Chameleon - Remastered,Culture Club,2wSAWEYUHkt92X4SBAPqZE,0.668,0.73,-7.182,0.0366,0.225,92.049,0.188,0.894
Don't Leave Me This Way (with Sarah Jane Morris),The Communards,0ire4j2mcGovF5JA1D2cTp,0.64,0.926,-5.597,0.0322,0.135,131.997,0.134,0.901
Dancing with Tears in My Eyes - Single Version / 2009 Remaster,Ultravox,6o6ZPVUPJ0GTs2gQIt2jWc,0.592,0.916,-6.9,0.0482,0.0856,144.262,0.161,0.886
Total Eclipse of the Heart,Bonnie Tyler,4CWZffvYnRPdHunwWoM2AH,0.433,0.559,-11.344,0.0636,0.194,130.2,0.0732,0.178
Endless Love,Lionel Richie,5iwyLsQ5yjnCaRrJGyAPZM,0.483,0.268,-11.809,0.0257,0.866,93.47,0.145,0.182
Always on My Mind,Pet Shop Boys,07ABETRdek3ACMpRPvQuaT,0.533,0.783,-10.61,0.0366,0.0116,124.874,0.186,0.726
Never Ending Story,Limahl,1F43XlPBiwAUUIhrUGzylO,0.599,0.622,-13.971,0.0296,0.359,122.312,0.114,0.851
"Crockett's Theme - From ""Miami Vice II"" Soundtrack",Jan Hammer,45r7mbXRbpFAYZavAoX6tk,0.408,0.385,-16.604,0.0317,0.424,191.364,0.101,0.399
Easy Lover,Philip Bailey,5LYJ631w9ps5h9tdvac7yP,0.74,0.923,-5.082,0.0369,0.105,128.871,0.0825,0.93
Faith - Remastered,George Michael,0nd1Vs5BIoIU4TJlzR8KVB,0.887,0.48,-11.994,0.117,0.0094,95.846,0.0662,0.607
Club Tropicana,Wham!,6tASfEUyB7lE2r6DLzURji,0.658,0.714,-9.247,0.0521,0.0291,117.276,0.651,0.806
Stuck With You,Huey Lewis & The News,2cFl7utlqyZjCXN1G5nRvA,0.704,0.544,-11.402,0.026,0.0873,120.717,0.041,0.628
Straight Up,Paula Abdul,5xl5582IihbEZAnfj0xyso,0.769,0.826,-8.252,0.0624,0.267,95.862,0.0638,0.762
Stuck On You,Lionel Richie,6HPLeKiNm92RbykX2BDTUB,0.509,0.317,-16.063,0.0305,0.621,131.783,0.0878,0.247
Every Time You Go Away - Radio Edit,Paul Young,05fHQeRbCSjKVS6z0WbQKJ,0.572,0.721,-8.959,0.0402,0.187,164.252,0.216,0.844
That's All - Digital Remastered 2007,Genesis,2gUjs3Y8RoPpwozKyQDCUa,0.579,0.669,-8.704,0.0326,0.253,175.181,0.0911,0.798
Together In Electric Dreams,The Human League,2J9yZBKajggHsCmoSiaVCw,0.697,0.611,-11.746,0.0258,0.18,129.96,0.0876,0.808
In The Air Tonight - 2015 Remastered,Phil Collins,18AXbzPzBS8Y3AkgSxzJPb,0.446,0.239,-13.945,0.0316,0.551,189.507,0.0697,0.298
Axel F,Harold Faltermeyer,2kgqupahrJpYB4r1poTXEY,0.799,0.491,-17.105,0.0891,0.016,117.285,0.094,0.57
If I Could Turn Back Time,Cher,6mYrhCAGWzTdF8QnKuchXM,0.658,0.575,-10.365,0.0267,0.243,108.329,0.122,0.504
Hip To Be Square,Huey Lewis & The News,648BMGrt98kUbLo24A4vgj,0.668,0.779,-11.089,0.0325,0.0025,140.873,0.139,0.963
A Little Respect - 2009 Remastered Version,Erasure,7aS418hRnOnYrXeyrZilwk,0.607,0.784,-7.963,0.0258,0.0299,113.804,0.288,0.622
Hello,Lionel Richie,6HMvJcdw6qLsyV1b5x29sa,0.424,0.222,-15.053,0.0391,0.646,61.648,0.148,0.0606
Sign Your Name,Terence Trent D'Arby,3lIpkjFnRxJ6Uvm8DgtgfV,0.899,0.421,-11.238,0.0511,0.202,109.148,0.0864,0.852
Land Of Confusion - 2007 Digital Remaster,Genesis,2oiMNaVCul7qmMzpRStjCg,0.619,0.939,-6.787,0.0397,0.0173,115.164,0.327,0.677
Careless Whisper,George Michael,4jDmJ51x1o9NZB5Nxxc7gY,0.574,0.629,-8.815,0.0363,0.128,153.119,0.271,0.786
You Can't Hurry Love - 2016 Remaster,Phil Collins,4YwbSZaYeYja8Umyt222Qf,0.62,0.936,-4.593,0.0308,0.0261,97.527,0.0679,0.763
Cheri Cheri Lady,Modern Talking,2aEuA8PSqLa17Y4hKPj5rr,0.677,0.616,-13.826,0.032,0.458,114.223,0.349,0.851
Something About You - Single Version,Level 42,2uXewDKMktNkkMfotqSxN6,0.707,0.568,-13.52,0.0291,0.0319,105.326,0.055,0.877
The Look Of Love - Pt. 1,ABC,6HvUtPLqkP0t6zd6YNdWby,0.731,0.91,-4.559,0.0918,0.11,120.991,0.313,0.886
Like a Virgin,Madonna,1ZPlNanZsJSPK5h9YZZFbZ,0.773,0.656,-10.88,0.0381,0.202,119.754,0.0697,0.971
Dancing On The Ceiling,Lionel Richie,0snPJPxkk0MbTc0xeUvAPt,0.698,0.774,-8.642,0.048,0.12,133.197,0.394,0.731
Tarzan Boy,Baltimora,273uCXd7NPrInaiNqtkOrA,0.684,0.573,-12.3,0.0261,0.318,107.363,0.306,0.716
The Look,Roxette,0ZfM5XfJTtFPhOxAERRnNY,0.634,0.838,-5.363,0.0413,0.0531,95.011,0.0522,0.541
Wake Me up Before You Go-Go,Wham!,0ikz6tENMONtK6qGkOrU3c,0.62,0.574,-11.893,0.0421,0.272,81.548,0.0607,0.9
Thriller,Michael Jackson,1D9KEXIrlmPUkMTdYzqgX4,0.775,0.857,-4.943,0.0699,0.0906,118.419,0.918,0.797
Kayleigh - 2017 Remaster,Marillion,0r5Ju8WyodpXBHmg3f4zYf,0.585,0.567,-8.35,0.0263,0.247,106.127,0.102,0.564
Sussudio - 2016 Remaster,Phil Collins,4qM461TqtpnP4GLRIXwEnW,0.714,0.935,-5.195,0.0849,0.0529,121.232,0.0515,0.725
One Night In Bangkok - From “Chess” / Remastered 2016,Murray Head,1xgqGXZW1udHCjuwjeRDVO,0.954,0.451,-9.124,0.108,0.193,108.842,0.0637,0.839
Enola Gay - Remastered,Orchestral Manoeuvres In The Dark,3NYCaxkggl0Hh8vQptSUvV,0.559,0.764,-7.058,0.0348,0.00441,143.319,0.0807,0.932
"Say You, Say Me",Lionel Richie,17CPezzLWzvGfpZW6X8XT0,0.636,0.405,-11.113,0.0287,0.355,128.068,0.0804,0.257
Good Life,Inner City,5sJiLlgQKBL81QCTOkoLB5,0.716,0.783,-12.876,0.0496,0.172,121.306,0.0327,0.952
Listen To Your Heart,Roxette,5JvsxPAHsGxwNq4xto2HtM,0.539,0.583,-4.935,0.0275,0.108,86.063,0.111,0.337
Everything She Wants,Wham!,5hXEcqQhEjfZdbIZLO8mf2,0.9,0.459,-15.557,0.0366,0.321,115.091,0.165,0.962
Holding Back the Years - 2008 Remaster,Simply Red,1yg7fwwYmx9DQ2TdXUmfpJ,0.707,0.514,-8.885,0.0281,0.58,86.035,0.0953,0.524
West End Girls - 2001 Remaster,Pet Shop Boys,2yzPBlE5UXK2sqvnNM9QQ0,0.651,0.949,-6.566,0.0403,0.00737,113.257,0.286,0.61
Angel Eyes (Home And Away),Wet Wet Wet,2ClEdZjrJD2lQOrWU1qqO5,0.623,0.529,-12.221,0.027,0.366,94.153,0.0554,0.57
Pump Up The Jam,Technotronic,21qnJAMtzC6S5SESuqQLEK,0.885,0.844,-9.225,0.0733,0.0147,124.602,0.0494,0.715
Islands in the Stream,Dolly Parton,6apPqjW8ezpKEicAkkBlvO,0.611,0.524,-8.256,0.035,0.68,203.787,0.0753,0.73
Good Thing,Fine Young Cannibals,6lRkdG1HurVS72F9GoBeWJ,0.747,0.586,-10.119,0.0299,0.0708,164.718,0.0427,0.893
Brother Louie,Modern Talking,5zWZ9iNevP0397xB3jWV2z,0.783,0.836,-9.223,0.0486,0.396,108.966,0.135,0.831
Lessons In Love,Level 42,3EGI5qmVmGlfgy9BmNb1R8,0.709,0.839,-8.403,0.0367,0.159,113.186,0.301,0.864
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,5Hyr47BBGpvOfcykSCcaw9,0.615,0.683,-15.29,0.04,0.0243,150.057,0.0491,0.896
I'm So Excited,The Pointer Sisters,1ot6jEe4w4hYnsOPjd3xKQ,0.59,0.868,-5.832,0.048,0.0962,184.348,0.442,0.798
Shout,Tears For Fears,2gQaQUhDCNGfBVXTvxAmXQ,0.511,0.942,-10.407,0.0429,0.174,97.909,0.139,0.498
Sweet Little Mystery,Wet Wet Wet,58qBa4R0T7u0ZiuRvMJRUN,0.711,0.581,-14.108,0.0357,0.408,117.084,0.0709,0.949
How Am I Supposed to Live Without You,Michael Bolton,3RMeOetCdXttthQK0clPuz,0.541,0.44,-12.206,0.031,0.191,140.273,0.114,0.232
I Can Dream About You,Dan Hartman,2TSVJz7sJIUInkzWVJIsCf,0.747,0.533,-12.165,0.0554,0.1,112.987,0.0344,0.875
(I'll Never Be) Maria Magdalena - Single Verison,Sandra,7LNP6YNYDeMgBeG4JBfAdq,0.613,0.559,-14.127,0.0268,0.0992,104.1,0.314,0.772
True Colors,Cyndi Lauper,2A6yzRGMgSQCUapR2ptm6A,0.386,0.145,-16.94,0.0362,0.792,171.63,0.1,0.262
Don't Go,Yazoo,5JOVSWohrjXW0BFTboh8XO,0.803,0.411,-16.013,0.0521,0.312,126.236,0.0411,0.654
"Get Outta My Dreams, Get Into My Car",Billy Ocean,2D4D3hiOf5U0W6SvJoCQph,0.666,0.91,-6.457,0.0399,0.0879,117.141,0.335,0.919
Where Do Broken Hearts Go,Whitney Houston,7tLtIZclwLWk54PFAyDv5T,0.464,0.386,-12.174,0.0292,0.632,61.868,0.0682,0.251
Everybody Wants To Rule The World,Tears For Fears,4RvWPyQ5RL0ao9LPZeSouE,0.645,0.795,-12.095,0.0527,0.347,112.067,0.104,0.535
Wonderful Life,Black,0IWtEFQBwRHaMXZQtGEVcM,0.72,0.521,-12.468,0.0302,0.705,106.055,0.214,0.823
Smooth Operator - Single Version,Sade,3XEtw7t4V5sfd2vtkp0ql7,0.734,0.581,-6.619,0.032,0.24,119.337,0.0298,0.962
Poison,Alice Cooper,5XcZRgJv3zMhTqCyESjQrF,0.28,0.908,-5.509,0.109,0.0327,118.698,0.18,0.26
Part-Time Lover,Stevie Wonder,0Dm43YLUlGdePpSbI1ct8h,0.662,0.624,-13.606,0.0417,0.165,174.513,0.0674,0.961
Somebody's Watching Me - Single Version,Rockwell,6A4Jc8npNo79BOgsrPptLA,0.767,0.712,-4.128,0.0324,0.0409,124.091,0.132,0.804
Only You,Yazoo,15Mh8m2BGTUptR8yy7fNAS,0.752,0.307,-17.063,0.0398,0.332,106.158,0.0829,0.854
Caribbean Queen (No More Love On the Run),Billy Ocean,4JEylZNW8SbO4zUyfVrpb7,0.79,0.649,-7.506,0.0265,0.166,113.797,0.092,0.954
Saving All My Love for You,Whitney Houston,1lx8ddGT5wCD6W2xmLeRKG,0.636,0.264,-14.567,0.0263,0.593,99.304,0.275,0.264
Addicted To Love,Robert Palmer,5izGeTxueiFX1UPFGohY9w,0.702,0.578,-13.415,0.031,0.382,111.617,0.0425,0.975
Invisible Touch - Remastered,Genesis,480dDrqG7LO6qDaphHeXlM,0.623,0.94,-5.731,0.0365,0.202,131.037,0.0472,0.837
Black Velvet,Alannah Myles,1KU5EHSz04JhGg3rReGJ0N,0.754,0.366,-10.07,0.0312,0.273,91.147,0.106,0.469
1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,0.866,0.73,-8.201,0.0767,0.137,118.523,0.0843,0.625
I Just Called To Say I Love You,Stevie Wonder,6RNDeRnWsRMjPdNVgupZCs,0.748,0.551,-9.054,0.0239,0.243,113.535,0.0943,0.65
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,3gdewACMIVMEWVbyb8O9sY,0.601,0.532,-9.119,0.0286,0.432,136.571,0.0925,0.341
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,3M5eeHXgG4VplKNcsBC8Dj,0.67,0.619,-10.365,0.0323,0.0514,108.826,0.0492,0.807
Wonderful Tonight,Eric Clapton,6zC0mpGYwbNTpk9SKwh08f,0.572,0.214,-15.625,0.0293,0.649,95.542,0.125,0.485
Do That To Me One More Time,Captain & Tennille,0m4jVVZrsv0bLkAr1uM6UG,0.728,0.524,-8.227,0.0255,0.563,90.262,0.0913,0.51
The Air That I Breathe - 2008 Remaster,The Hollies,6yLIqXX9edg1x0HZS7cZEv,0.279,0.473,-8.375,0.0309,0.242,167.792,0.158,0.246
If You Leave Me Now,Chicago,0KMGxYKeUzK9wc5DZCt3HT,0.429,0.564,-6.784,0.0268,0.0193,104.212,0.128,0.276
Hotel California - 2013 Remaster,Eagles,4Vn7TykT27PIygBiZjTR2s,0.579,0.508,-9.484,0.027,0.00574,147.125,0.0575,0.609
"You're The First, The Last, My Everything",Barry White,3rqXP37YkEnizabzjM7uIu,0.631,0.59,-12.138,0.0297,0.00367,130.145,0.0537,0.927
Hold the Line,TOTO,17arUdDWEinOOVrrVUkEM7,0.482,0.835,-7.68,0.0539,0.0191,96.444,0.162,0.776
Because the Night,Patti Smith,0lIoY4ZQsdn5QzhraM9o9u,0.466,0.763,-7.748,0.0391,0.0542,123.539,0.119,0.473
September,"Earth, Wind & Fire",3wpLkju0bJy89kjgdRys0j,0.694,0.831,-7.288,0.0301,0.165,125.901,0.25,0.98
Me and Bobby McGee,Janis Joplin,1IqFh00G2kvvMm8pRMpehA,0.453,0.464,-10.96,0.0431,0.302,93.19,0.152,0.658
Stayin' Alive - Remastered Version,Bee Gees,3LmpQiFNgFCnvAnhhvKUyI,0.675,0.899,-6.124,0.0418,0.0696,103.683,0.33,0.91
I Can See Clearly Now,Johnny Nash,30SCXVFyQGOFMdKnbgJS18,0.658,0.468,-13.19,0.0493,0.518,124.227,0.066,0.684
Let It Be - Remastered 2009,The Beatles,7iN1s7xHE4ifF5povM6A48,0.443,0.403,-8.339,0.0322,0.631,143.462,0.111,0.41
Cecilia,Simon & Garfunkel,6QhXQOpyYvbpdbyjgAqKdY,0.755,0.876,-8.867,0.0362,0.357,102.762,0.22,0.954
American Pie,Don McLean,1fDsrQ23eTAVFElUMaf38X,0.531,0.481,-11.709,0.06,0.699,138.45,0.0842,0.491
Moondance - 2013 Remaster,Van Morrison,683b4ikwa62JevCjwrmfg6,0.606,0.282,-12.207,0.0339,0.501,67.409,0.152,0.563
Pink Moon,Nick Drake,16qzGrIMWoxerw2gnW0zuv,0.638,0.256,-15.68,0.0492,0.819,82.479,0.145,0.438
He Ain't Heavy He's My Brother - 1998 Remaster,The Hollies,6k5QsifpMWtY5ilnzBZ0u4,0.304,0.421,-7.769,0.0293,0.46,75.928,0.163,0.216
Da Ya Think I'm Sexy?,Rod Stewart,4z7maGZkAonDlXlwo8q69f,0.715,0.689,-8.065,0.029,0.0143,111.504,0.111,0.852
Easy,Commodores,1JQ6Xm1JrvHfvAqhl5pwaA,0.589,0.384,-15.075,0.0332,0.112,132.909,0.0596,0.354
Cry Baby,Janis Joplin,0fOQ8CPHNabT8UQEz0hvkt,0.488,0.418,-9.676,0.0313,0.491,83.975,0.051,0.515
"Gypsys, Tramps & Thieves",Cher,6fsSZbNL7XP9gf1kJ2l155,0.476,0.677,-11.175,0.0365,0.211,170.879,0.0601,0.691
The Boxer,Simon & Garfunkel,76TZCvJ8GitQ2FA1q5dKu0,0.439,0.488,-14.464,0.0615,0.702,93.017,0.16,0.629
Love Really Hurts Without You,Billy Ocean,4GhtDORJiSRYxj6M1bv0vX,0.518,0.907,-3.732,0.0343,0.00221,140.982,0.0838,0.961
Into the Mystic - 2013 Remaster,Van Morrison,3lh3iiiJeiBXHSZw6u0kh6,0.608,0.524,-10.266,0.0309,0.367,86.204,0.115,0.797
Riders on the Storm,The Doors,14XWXWv5FoCbFzLksawpEe,0.549,0.722,-11.729,0.0283,0.25,103.885,0.11,0.716
"Yes Sir, I Can Boogie",Baccara,2LScqpywMqGcnum6nNaxXX,0.454,0.769,-7.653,0.0815,0.127,122.536,0.175,0.49
I Don't Want to Talk About It - 2008 Remaster,Rod Stewart,2JWKzkQbYsNzx019WyGzaH,0.472,0.373,-12.98,0.0262,0.872,135.193,0.147,0.459
Brick House,Commodores,5VJjhHyG8NZ5xdgG6uTb3P,0.831,0.782,-10.48,0.0595,0.0731,107.877,0.032,0.631
Stumblin' In - 2017 Remaster,Suzi Quatro,0EA8k9iH93YEJFaBuRt7Tc,0.761,0.723,-10.549,0.0313,0.126,129.269,0.345,0.923
Bridge Over Troubled Water,Simon & Garfunkel,6l8EbYRtQMgKOyc1gcDHF9,0.149,0.206,-13.888,0.0323,0.822,79.764,0.115,0.264
I Love to Love,Tina Charles,5jWI1xNxABzDRFTnD2yp8L,0.677,0.703,-9.344,0.0344,0.143,99.419,0.514,0.962
Grease - 2007 Remaster,Frankie Valli,5Vrczz39CvlD3OGCa6utoA,0.82,0.464,-8.45,0.0481,0.156,109.374,0.101,0.872
Love Train,The O'Jays,28285KFbyCq8sJofn58qlD,0.744,0.568,-9.629,0.0494,0.186,122.657,0.163,0.687
Knockin' On Heaven's Door,Bob Dylan,6HSXNV0b4M4cLJ7ljgVVeh,0.513,0.396,-13.061,0.0299,0.251,140.208,0.11,0.229
Sailing - 2008 Remaster,Rod Stewart,2krjNGN2eoPy3cfJLtdZMV,0.434,0.315,-13.763,0.0298,0.325,128.751,0.131,0.198
Ain't No Sunshine,Bill Withers,1k1Bqnv2R0uJXQN4u6LKYt,0.479,0.416,-11.451,0.124,0.457,79.593,0.118,0.514
Dancing In The Moonlight,King Harvest,55GxhCTq6SY3tFTVh7z1nR,0.653,0.719,-5.262,0.0363,0.684,136.153,0.408,0.682
Mamma Mia,ABBA,2TxCwUlqaOH3TIyJqGgR91,0.749,0.748,-7.011,0.0323,0.295,137.547,0.469,0.827
Listen to the Music,The Doobie Brothers,7Ar4G7Ci11gpt6sfH9Cgz5,0.645,0.598,-13.18,0.0335,0.221,105.929,0.0721,0.913
Give A Little Bit,Supertramp,6XUHsYE38CEbYunT983O9G,0.531,0.818,-5.358,0.0452,0.0694,90.767,0.263,0.471
